Alphabet,Eponym,Eponym_easy,Eponym_easy_yr,Topic,Disease,Eponym_strip,Who,Who_B,Surname,Region_A1,RegionOfEponym_A1,Where,Author_1_Role,Operation,WhoNamedIt,Author_1,Year,Year_str,Sex_A1,CityOfEponym_A1,Lat_A1,Long_A1,Continent_A1,CountryOfEponym_A1,CountryOfEponym_easy,ISO_country_A1,Author_2,Sex_A2,Lat_A2,Long_A2,Class,Subclass,Type_bed_scar,Type_op_cut,Type_short,Type,Type_1,ExamSpec,ExamFav,Pubmed_results,Google_results,GxP,Log2_GxP,Log10_GxP,Societies,ICD11,PMID,Ref,journal,journal_short,journal_name,Journal_Spec,History,Description,WNI_link,Ref_site,Pubmed,Wiki_link,ICD11_link,TMS_link,Manufacturer,Eponymictionary
,1,1,1,1,,1,1,,,,,,1,,,1,1,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,1,1,,,,,,,,,,,,
A,Aaron sign,Aaron sign,1913 - Aaron sign,General Surgery,"Appendicitis,Abdominal Pain",Aaron,Charles Dettie Aaron,**Charles Dettie Aaron**,Aaron,Michigan,Michigan,"**Detroit, Michigan, USA** (Harper Hospital)",,Appendicectomy,Yes,Charles Dettie Aaron,1913,**1913**,M,Detroit,42.35211,-83.0571,North America,USA,USA,USA,,,,,General,Appendix,1,1,Signs,Signs,Abdomen,,No,1,2520,2520,11.29920802,3.401400541,,No,,Aaron CD. **A sign indicative of chronic appendicitis**. _JAMA_. 1913; 60(5): 350-351,"JAMA,The Journal of the American Medical Association,",JAMA,_Journal_: **Journal of the American Medical Association** (JAMA),,,"Aaron's sign, indicitive of **chronic appendicitis**, is demonstrated by prolonged firm pressure at McBurney's point which produces pain in the epigastric region. In Aaron's 1913 paper, he describes four clinical cases to illustrate this clinical finding.",https://www.whonamedit.com/synd.cfm/341.html,https://jamanetwork.com/journals/jama/fullarticle/214191,,https://en.wikipedia.org/wiki/Aaron%27s_sign,,,,
A,"Adamkiewicz, Artery of ",Artery of Adamkiewicz,1881 - Artery of Adamkiewicz,"Vascular,Neurosurgery,Radiology","Spinal Cord Injury,Ischaemia",Adamkiewicz,Albert Wojciech Adamkiewicz,**Albert Wojciech Adamkiewicz**,Adamkiewicz,Krakow,Krakow,"**Kraków, Poland**",Doctor_Pathologist,Abdominal aortic aneurysm repair,Yes,Albert Wojciech Adamkiewicz,1881,**1881**,M,Krakow,50.06114,19.93482,Europe,Poland,Poland,POL,,,,,,,1,1,Anatomy,Anatomy,Abdomen,"Vascular,Radiology,Neurosurgery,All Specialties",Yes,232,34900,8096800,22.94892041,6.908313412,,No,,,,,,,,"The artery of Adamkiewicz is known by other terms, including **arteria radicularis magna**. This vessel is a major contributor to the anterior spinal artery which gives arterial supply to the lumbar and sacral cord and nerves. The artery of Adamkiewicz arises from intercostal arteries which branch from the thoraco-abdominal aorta.  ",http://www.whonamedit.com/synd.cfm/2233.html,,,https://en.wikipedia.org/wiki/Artery_of_Adamkiewicz,,,,
A,Alcock's canal,Alcock's canal,1836 - Alcock's canal,"Urology,Colorectal,Gynaecology,Obstetrics","Palsy,Paralysis",Alcock,Benjamin Alcock,**Benjamin Alcock**,Alcock,Cork,Cork,"**Cork, Ireland** (School of Anatomy at Warren's [now Parnell] Place)",Doctor_Anatomist,,No,Benjamin Alcock,1836,**1836**,M,Cork,51.89826,-8.46697,Europe,Ireland,Ireland,IRL,,,,,General,Nerve,1,1,Anatomy,Anatomy,Pelvis,,No,69,18700,1290300,20.29927511,6.110690697,,No,,,,,,,,"Alcock's canal is an eponymous term for the **pudendal canal**. This is a tubular passageway through the pelvis which is formed by fascia, along which pass an artery, nerve and a collection of small veins pass. These comprise the internal pudendal artery, the pudendal nerve, and the internal pudendal veins.",,,,https://en.wikipedia.org/wiki/Pudendal_canal,,,,
A,Allis forceps,Allis forceps,1883 - Allis forceps,General Surgery,,Allis,Oscar Huntington Allis,**Oscar Huntington Allis**,Allis,Pennsylvania,Pennsylvania,"**Philadelphia, Pennsylvania, USA**",Doctor_Surgeon,Thyroid / Parathyroid surgery,Yes,Oscar Huntington Allis,1883,**1883**,M,Philadelphia,39.958329,-75.199043,North America,USA,USA,USA,,,,,Theatre,Instruments,1,1,Instruments,Instruments,,,,15,"27,800",417000,18.66968786,5.620136055,,No,,,,,,,,,,,,,,,,
A,Allison lung retractor,Allison lung retractor,1955 - Allison lung retractor,"Oesophagogastric,Cardiothoracics",,Allison,Philip Rowland Allison,**Philip Rowland Allison**,Allison,England,Oxford,"**Oxford, England, UK**",Doctor_Surgeon,"Oesophagectomy,Esophagectomy",No,Philip Rowland Allison,1955,**1955** approximately,M,Oxford,51.7638,-1.2189,Europe,UK,UK,GBR,,,,,Oesophagogastric,Instruments,1,1,Instruments,Instruments,,,,1,3940,3940,11.94397991,3.595496222,,No,,,,,,,,,,,,,,,,
A,Allison repair,Allison repair,1951 - Allison repair,Oesophagogastric,"GORD,GERD,Reflux",Allison,Philip Rowland Allison,**Philip Rowland Allison**,Allison,England,Leeds,"**Leeds, England, UK**",Doctor_Surgeon,Antireflux surgery,No,Philip Rowland Allison,1951,**1951**,M,Leeds,53.8024,-1.5547,Europe,UK,UK,GBR,,,,,Oesophagogastric,Oesophagus,1,1,Operations,Operations,,,,4,17000,68000,16.05324713,4.832508913,FRCS(Eng),No,,"Allison PR. **Reflux esophagitis, sliding hiatus hernia, and the anatomy of repair**. _Surg Gynecol Obstet_. 1951; 92(4): 419-431 ","Surg Gynaecol Obstet,Surgery Gynaecology & Obstetrics",Surg Gynaecol Obstet,"_Journal_: **Surgery, Gynaecology & Obstetrics** (Surg Gynaecol Obstet)",,,"The Allison technique consists of a transthoracic repair of hiatal hernia. He emphasised the importance of the phreno-oesophageal ligament with respect to its role in fixation of the oesophagogastric junction (OGJ) to the long-term reduction of the hernia and re-establishing normal allignment of the OGJ between the oesophagus and the gastric cardia. Allison advised the proximal edge of the phreno-oesophageal ligament be sutured to the undersurface of the left diaphragm by making a counterincision (meaning second incision), into the diaphragm. This routine counterincision to the diaphragm has drawn criticism as it has been attributed to serious late complications (eg. Effler DB, 1964, J Thoracic Cardiovas Surg) leading to a modification in the original technique. ",,,https://pubmed.ncbi.nlm.nih.gov/14835197/,,,,,
A,Altemeier procedure,Altemeier procedure,1952 - Altemeier procedure,Colorectal,Rectal Prolapse,Altemeier,William A Altemeier,**William A Altemeier**,Altemeier,Ohio,Ohio,"**Cincinnati, Ohio, USA**",Doctor_Surgeon,Rectal surgery,No,William A Altemeier,1952,**1952**,M,Cincinnati,39.1375,-84.5035,North America,USA,USA,USA,,,,,Colorectal,Rectum,1,1,Operations,Operations,,,,65,6880,447200,18.77056066,5.650501795,,No,,"Altemeier WA, Giuseffi J, Hoxworth P. **Treatment of extensive prolapse of the rectum in aged or debilitated patients**. _AMA Arch Surg_. 1952; 62(1): 72-80   <br> Altemeier WA, Culbertson WR, Alexander JW. **One-stage perineal repair of rectal prolapse. Twelve years' experience**. _Arch Surg_. 1964; 89: 6-16","AMA Arch Surg,American Medical Association Archives of Surgery",AMA Arch Surg,_Journal_: **American Medical Association Archives of Surgery** (AMA Arch Surg),,,"<p style=""text-align:justify"">Originally described by Altemeier in 1952, a report of 12-years' experience from 53 cases was published in 1964. The technique is paraphrased:</p> <p style=""text-align:justify; text-indent: 40px""> The apex of the prolapsed rectal mass is grasped, everted, and pulled downwards. A circumferential incision is made through the rectal mucosa and muscle at a level approximately 3 mm proximal to the pectinate line. Haemostasis secured. The outer layer of the bowel is stripped distally from the inner loop. </p> <p style=""text-align:justify; text-indent: 40px""> The hernial sac, which is often obscured by fatty tissue, is located anteriorly on the rectal wall and opened. A large redundant loop of rectum and sigmoid colon, usually falls through the opened hernial sac into the wound.</p> <p style=""text-align:justify; text-indent: 40px"">The point of division which would permit removal of the redundant large bowel is selected. The mesosigmoid and its vessels is divided between ties and he the bowel prepared for resection and anastomosis without redundancy or tension. The cul-de-sac hernia is obliterated by a continuous 2-0 suture, suturing the neck of the sac to the visceral peritoneum of the sigmoid at a high level.</p> <p style=""text-align:justify; text-indent: 40px""> The bowel is retracted posteriorly, exposing the levator ani muscles on both sides. The edges of the levator ani muscles and their enclosing fasciae are approximated in the midline in front of the bowel with three to five interrupted sutures, thereby eliminating the large defect in the pelvic diaphragm, producing a strong musculofascial support beneath the peritoneal closure. Holding the redundant exteriorized bowel under gentle traction, it is divided into two lateral halves by an anterior and posterior incision made up to the point previously selected for resection and anastomosis.</p> <p style=""text-align:justify; text-indent: 40px""> Two mattress sutures are placed anteriorly and posterioly to unite the bowel to the mucous membrane 3 mm above the pectinate line. The bowel is next transected progressively in quadrants, and the anatomosis completed, carefully approximating the edges with interupted 3-0 sutures on swedged needles. No drain.</p>",,https://jamanetwork.com/journals/jamasurgery/fullarticle/562520,,,,,,
A,Alvarado score,Alvarado score,1986 - Alvarado score,"Emergency Surgery,General Surgery","Appendicitis,Inflammation,Sepsis,Abdominal Pain",Alvarado,Alfredo Alvarado,**Alfredo Alvarado**,Alvarado,Florida,Florida,"**Plantation, Broward County, Florida, USA**",Doctor,Appendicectomy,No,Alfredo Alvarado,1986,**1986**,M,Plantation,26.1265,-80.2052,North America,USA,USA,USA,,,,,Appendix,Appendix,1,1,Scores,Scores,,,,241,53900,12989900,23.63088699,7.113605808,,No,3963537,Alvarado A. **A practical score for the early diagnosis of acute appendicitis**. _Ann Emerg Med_. 1986; 15(5): 557-564,"Ann Emerg Med,Annals of Emergency Medicine",Ann Emerg Med,_Journal_: **Annals of Emergency Medicine** (Ann Emerg Med),,,"The Alvarado score predics the likelihood of acute appendictis, based on symptoms, signs and investigations.<br><br>In 1986, Dr Alfredo Alvarado published a 10-point clinical score based on data from 305 patients hospitalised with abdominal pain  suggestive of acute appendicitis.<br><br>1) Abdominal pain that migrates to RIF (1 point)<br>2) Loss of appetitie or urinary ketones (1 point)<br>3) Nausea or vomiting (1 point)<br>4) Pain in the RIF (2 points)<br>5) Rebound tenderness (1 point)<br>6) Febrile (1 point)<br>7) Leukocytosis >10,000 (2 points)<br>8) Neutrophilia >70% WCC (1 point).<br><br>A score of 5 or 6 is compatible with appendicitis, 7 or 8 indicates a propable appendicitis, 9 or 10 is very probable or appendicitis.",https://www.whonamedit.com/synd.cfm/2689.html,,https://pubmed.ncbi.nlm.nih.gov/3963537/,https://en.wikipedia.org/wiki/Alvarado_score,,,,
A,Ambrosetti classification,Ambrosetti classification,2002 - Ambrosetti classification,"Colorectal,Emergency Surgery",Diverticulitis,Ambrosetti,Patrick Ambrosetti,**Patrick Ambrosetti**,Ambrosetti,Geneva,Geneva,"**Geneva, Switzerland**",Doctor_Surgeon,Colectomy,No,Patrick Ambrosetti,2002,**2002**,M,Geneva,46.19359,6.14891,Europe,Switzerland,Switzerland,CHE,,,,,Colorectal,Colon,1,1,Scores,Scores,Abdomen,,No,35,2440,85400,16.38194845,4.931457871,,No,,"Ambrosetti P, Becker C, Terrier F. **Colonic diverticulitis: impact of imaging on surgical management -- a prospective study of 542 patients**. _Eur Radiol_. 2002; 12(5): 1145-1149","Eur Radiol,European Radiology",Eur Radiol,_Journal_: **European Radiology** (Eur Radiol),,,"Ambrosetti _et al_ classified diverticulitis into moderate and severe grades.<br><br>**Moderate**: Localised sigmoid wall thickening (<5 mm), or pericolic fat stranding. <br><br>**Severe**: Abscess, extraluminal gas, or extraluminal contrast. ",,,https://pubmed.ncbi.nlm.nih.gov/11976860/,,,,,
A,Amyand hernia,Amyand hernia,1735 - Amyand hernia,Hernia,"Hernia,Inguinal Hernia",Amyand,Claudius Amyand,**Claudius Amyand**,Amyand,England,London,"**London, England, UK**",Doctor_Surgeon,"Inguinal hernia repair - Open,Laparoscopic groin hernia repair,Appendicectomy",Yes,Claudius Amyand,1735,**1735**,M,London,51.50238,-0.15272,Europe,UK,UK,GBR,,,,,Hernia,Inguinal,1,1,Pathology,Pathology,,"Hernia,General Surgery,All Specialties",Yes,40,23700,948000,19.85452753,5.976808337,FRS,No,No,"Amyand C. 1735 VIII. **Of an inguinal rupture, with a pin in the appendix coeci, incrusted with stone; and some observations on wounds in the guts**. _Phil Trans R Soc_. 39; 329-342","Philos T R Soc,Philosophical Transactions of the Royal Society",Philos T R Soc,_Journal_: **Philosophical Transactions of the Royal Society** (Philos T R Soc),"Hernia,General Surgery,All",,"Amyand's hernia refers to the finding of the appendix, not necessarily inflamed, within an inguinal hernia. Claudius Amyand (Serjent Surgeon to His Majesty, and FRS) reported on the 8th October 1735, an 11-year old boy, Hanvil Anderson, was admitted to St. George's Hospital near Hyde Park Corner. He had a filstula btween his scrotum and thigh, discharging an ""unkindly sort of matter"". The operation was performed on 6th December 1735.",https://www.whonamedit.com/synd.cfm/2689.html,https://royalsocietypublishing.org/doi/10.1098/rstl.1735.0071,,https://en.wikipedia.org/wiki/Amyand%27s_hernia,,,,
A,Andrew's procedure,Andrew's procedure,1907 - Andrew's procedure,Urology,Hydrocele,Andrews,E Wyllys Andrews,**E Wyllys Andrews**,Andrews,Illinois,Illinois,"**Chicago, Illinois, USA**",,Hydrocele surgery,No,E Wyllys Andrews,1907,**1907**,M,Chicago,41.8963,-87.6193,North America,USA,USA,USA,,,,,,,1,1,Operations,Operations,Pelvis,,No,1,79,79,6.303780748,1.897627091,,No,,,,,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1414451/,,,,,,
A,Appleby procedure,Appleby procedure,1953 - Appleby procedure,"Oesophagogastric,HPB","Gastric Cancer,Cancer - All",Appleby,Lyon Henry Appleby,**Lyon Henry Appleby**,Appleby,Vancouver,Vancouver,"**Vancouver, Canada**",Doctor_Surgeon,"Gastrectomy,",No,Lyon H Appleby,1953,**1953**,M,Vancouver,49.280431,-123.127887,North America,Canada,Canada,CAN,,,,,Oesophagogastric,Gastric,1,1,Operations,Operations,Abdomen,,No,64,5530,353920,18.43306377,5.548905105,,No,,Appleby LH. **The coeliac axis in the expansion of the operation for gastric carcinoma**. _Cancer_. 1953; 6(4): 704-707,"Cancer,",Cancer,_Journal_: **Cancer**,,,"The Appleby procedure refers to a cancer resection that involves excision of the **coeliac axis**. Indoingso, the liver's arterial supply is maintained by gastroduodenal branch of the SMA.<br><br>In its original description, Appleby reported an extensive block dissection for gastric carcinoma wherein the coeliac axis is divided, taking all of its arterial branches, local veins, lymph nodes and neural plexuses**. The Applebly procedure results in an aorta that is cleared of all nodes and removal of the coeliac vessels, together with removal of all hilar nodes from the porta hepatis, removal of the omentum, the tail and part of the body of the pancreas, and the spleen with its hilar nodes along en bloc with a total gastrectomy. A standard reconstruction by oesophago-jejunostomy was not further specified by Appleby. <br><br>Appleby highlighted the importance of ensuring the intergity of the superior mesenteric artery (SMA) and its communication with the gastroduodenal branch of the hepatic artery prior to division of the hepatic artery proximal to the gastroduodenal artery. As it is though this arterial route by which the liver maintains an arterial supply, the operation cannot be undertaken if there is uncertainty about the integrity of this arterial communication, and Appleby describes checking these vessels at three occasions before division of the coeliac and hepatic arteries. <br><br>In his paper, Applebly reports having completed this procedure for thirteen patients with relatively early gastric cancer (staging unspecified), and  details a case history of one such typical patient.<br><br>Since its original design for gastric cancer, the concept of coeliac axis excision has been employed by pancreatic cancer surgeons as a modified Appleby procedure involving a distal pancreatectomy and coeliac axis resection.",,https://acsjournals.onlinelibrary.wiley.com/doi/10.1002/1097-0142(195307)6:4%3C704::AID-CNCR2820060410%3E3.0.CO;2-P,https://pubmed.ncbi.nlm.nih.gov/13059764/,,,,,
A,"Aranzio, nodules of",Nodules of Aranzio,1579 - Nodules of Aranzio,Cardiothoracics,Valvular Heart Disease,Aranzio,Giulio Cesare Aranzio,**Giulio Cesare Aranzio**,Aranzio,Bologna,Bologna,"**Bologna, Italy**",Doctor_Anaesthetist,Cardiac valve replacement,Yes,Giulio Cesare Aranzio,1579,**1579**,M,Bologna,44.49609,11.35444,Europe,Italy,Italy,ITA,,,,,Cardiac,Cardiac,1,1,Anatomy,Anatomy,Chest,,No,1,508,508,8.988684687,2.705863712,,No,,,,,,,,"Nodules of Aranzio (or Nodules of Arantius), are nodules of the semilunar cusps, found on the semilunar valves of aortic valve. They are thickenings of the tunica intimal layer on the ventricular aspect of these leaflets.",,,,https://en.wikipedia.org/wiki/Julius_Caesar_Aranzi,,,,
A,Auerbach's plexus,Auerbach's plexus,1863 - Auerbach's plexus,"Oesophagogastric,Colorectal","Achalasia,Hirschsprung's Disease",Auerbach,Leopold Auerbach,**Leopold Auerbach**,Auerbach,Wrocław,Wrocław,"**Wrocław, Poland**",Doctor_Pathologist,"Cardiomyotomy,Endoscopy",Yes,Leopold Auerbach,1863,**1863**,M,Wrocław,51.113611,17.033334,Europe,Poland,Poland,POL,,,,,General,,1,1,Physiology,Physiology,,"Oesophagogastric,Colorectal,All Specialties",Yes,358,51900,18580200,24.1472627,7.269050384,,No,,,,,,,,"Auerbach's plexus refers to the **myenteric plexus** of the gastro-intestinal tract allowing peristalsis. The pelxus consists of sympathetic nerve fibres which are situated between the outer, longitudinal and the inner, circular musclar enteric layers. ",http://www.whonamedit.com/synd.cfm/305.html,,,,,,,
B,Babcock forceps,Babcock forceps,1963 - Babcock forceps,General Surgery,,Babcock,William Wayne Babcock,**William Wayne Babcock**,Babcock,Pennsylvania,Pennsylvania,"**Philadelphia, Pennsylvania, USA**",Doctor_Surgeon,Appendicectomy,Yes,William Wayne Babcock,1963,**1963**,M,Philadelphia,40.005278,-75.150833,North America,USA,USA,USA,,,,,Theatre,Instruments,1,1,Instruments,Instruments,,,,17,"33,800",574600,19.13219847,5.759365622,,No,,,,,,,,,,,,,,,,
B,Balthazar's CT severity index,Balthazar's CT severity index,1990 - Balthazar's CT severity index,HPB,Acute Pancreatitis,Balthazar,Emil J Balthazar,**Emil J Balthazar**,Balthazar,New York,New York,"**Manhattan, New York, USA** (New York University Medical Center)",Doctor_Radiologist,,No,Emil J Balthazar,1990,**1990**,M,New York,40.74219,-73.97403,North America,USA,USA,USA,,,,,Pancreas,Pancreas,1,1,Scores,Scores,Abdomen,"HPB,General Surgery,All Specialties",Yes,166,69300,11503800,23.45560716,7.060841323,,No,,"Balthazar EJ, Robinson DL, Megibow AJ, Ranson JH. **Acute pancreatitis: value of CT in establishing prognosis**. _Radiology_. 1990; 174(2): 331-336",,,,,,,,,,,,,,
B,Bancroft operation,Bancroft operation,1932 - Bancroft operation,Oesophagogastric,Peptic Ulcer Disease,Bancroft,Frederic Wolcott Bancroft,**Frederic Wolcott Bancroft**,Bancroft,New York,New York,"**Manhattan, New York, USA** (Fifth Avenue Hospital)",Doctor_Surgeon,"Gastrectomy,",No,Frederic Wolcott Bancroft,1932,**1932**,M,New York,40.7938,-73.95122,North America,USA,USA,USA,,,,,,,1,1,Operations,Operations,Abdomen,,No,4,546,2184,11.09275714,3.339252634,,No,,Bancroft FW. **A modification of the devine operation of pyloric exclusion for duodenal ulcer**. _Am J Surg_. 1932; 16: 223-230,"Am J Surg,The American Journal of Surgery,American Journal of Surgery,",Am J Surg,_Journal_: **The American Journal of Surgery** (Am J Surg),,,,,,,,,,,
B,Barrett's oesophagus,Barrett's oesophagus,1950 - Barrett's oesophagus,Oesophagogastric,"Cancer - All,Oesophageal Cancer,Dyspepsia,GORD,GERD,Reflux",Barrett's,Norman Rupert Barrett,**Norman Rupert Barrett**,Barrett,England,London,"**London, England, UK**",Doctor_Surgeon,"Oesophagectomy,Antireflux surgery,Cardiomyotomy,Esophagectomy,Endoscopy",Yes,Norman Rupert Barrett,1950,**1950**,M,London,51.49883,-0.1188,Europe,UK,UK,GBR,,,,,Oesophagogastric,Oesophagus,1,1,Pathology,Pathology,,"Oesophagogastric,All Specialties",Yes,1445,246000,355470000,28.40515257,8.550802954,,DA23.Z,14791960,Barrett NR. **Chronic peptic ulcerz of the oeophagus and ‘oesophagitis’**. _Br J Surg_. 1950; 38(150): 175-182,"Br J Surg,BJS,British Journal of Surgery",BJS,"_Journal_: **British Journal of Surgery** (BJS, Br J Surg)","Oesophagogastric,All",,"In 1950, Barrett published a paper where he suggested that the finding of an oesophagus lined with columnar epithelium (rather than the normal squamous epithelium) was due to the presence of a congenitally shortened oesophagus leading to a tubular portion of the stomach being trapped in the chest. He later conceded that it should be considered as the lower oesophgus lined by columnar epithelium, in line with Philip Allison and Alan Johnstone.",https://www.whonamedit.com/synd.cfm/830.html,,https://pubmed.ncbi.nlm.nih.gov/14791960/,https://en.wikipedia.org/wiki/Barrett%27s_esophagus,https://icd.who.int/browse11/l-m/en#/http://id.who.int/icd/entity/1442921818/mms/unspecified,https://teachmesurgery.com/general/oesophageal/barretts-oesophagus/,,
B,Bartholin's abscess,Bartholin's abscess,1677 - Bartholin's abscess,Gynaecology,"Sepsis,Abscess",Bartholin,Caspar Bartholin,**Caspar Bartholin**,Bartholin,Copenhagen,Copenhagen,"**Copenhagen, Denmark**",Doctor_Anatomist,,Yes,Caspar Bartholin,1677,**1677**,M,Copenhagen,55.679722,12.5725,Europe,Denmark,Denmark,DNK,,,,,,Perineum,1,1,Pathology,Pathology,,"Gynaecology,All Specialties",Yes,55,35600,1958000,20.90094933,6.291812687,,Yes,,,,,,,,,https://www.whonamedit.com/synd.cfm/3316.html,,,,https://icd.who.int/browse11/l-m/en#/http://id.who.int/icd/entity/67978784,,,
B,Bascom cleft lift procedure,Bascom cleft lift procedure,2002 - Bascom cleft lift procedure,"Colorectal,General Surgery",Pilonidal Disease,Bascom,John U Bascomb,**John U Bascomb**,Bascom,Oregon,Oregon,"**Eugene, Oregon, USA**",Doctor_Surgeon,Pilonidal surgery,No,John U Bascomb,2002,**2002**,M,Eugene,44.03652,-123.07504,North America,USA,USA,USA,,,,,Pilonidal,Pilonidal,1,1,Operations,Operations,Natal cleft,"Colorectal,All Specialties",No,15,2540,38100,15.21750338,4.580924976,,No,,"Bascom J, Bascom T. **Failed pilonidal surgery: new paradigm and new operation leading to cures**. _Arch Surg_. 2002; 137(10): 1146-1150","AMA Arch Surg,American Medical Association Archives of Surgery",AMA Arch Surg,_Journal_: **American Medical Association Archives of Surgery** (AMA Arch Surg),"Colorectal,All Specialties",,,,,,,,,,
B,Bassini hernia repair,Bassini hernia repair,1887 - Bassini hernia repair,Hernia,"Hernia,Inguinal Hernia",Bassini,Edoardo Bassini ,**Edoardo Bassini **,Bassini,Veneto,Padua,"**Padua, Veneto, Italy**",Doctor_Surgeon,Inguinal hernia repair - Open,Yes,Edoardo Bassini ,1887,**1887**,M,Padua,45.4036,11.8868,Europe,Italy,Italy,ITA,,,,,Hernia,Inguinal,1,1,Operations,Operations,,,,52,8780,456560,18.80044494,5.65949786,,No,,,,,,,,,https://www.whonamedit.com/synd.cfm/3961.html,,,https://en.wikipedia.org/wiki/Edoardo_Bassini,,,,
